file,opt,cgates_average,cgates_stdev,depth_average,depth_stdev,amounts
benchmark_files__rand_0.qasm,l3rpol3,374.55555555555554,21.82308212833941,295.22222222222223,29.995472909452992,9
benchmark_files__rand_0.qasm,RPOLevel3Pure,487.55555555555554,47.51166198620459,285.0,33.1058907144937,9
benchmark_files__rand_1.qasm,l3rpol3,407.0,10.241527663824812,358.0,26.720778431774775,9
benchmark_files__rand_1.qasm,RPOLevel3Pure,707.0,74.19344086013714,392.0,45.1638990541979,9
benchmark_files__rand_10.qasm,l3rpol3,6.0,0.0,8.0,0.0,9
benchmark_files__rand_10.qasm,RPOLevel3Pure,0.0,0.0,2.0,0.0,9
benchmark_files__rand_100.qasm,l3rpol3,285.6666666666667,10.718623460542352,242.44444444444446,25.682294424633877,9
benchmark_files__rand_100.qasm,RPOLevel3Pure,438.0,27.09243436828813,235.22222222222223,19.577639046046485,9
benchmark_files__rand_1000.qasm,l3rpol3,309.1111111111111,7.964427083314411,258.0,19.42506971244462,9
benchmark_files__rand_1000.qasm,RPOLevel3Pure,487.6666666666667,26.465910988372276,264.0,15.267976654131717,9
benchmark_files__rand_1001.qasm,l3rpol3,109.0,5.9066817155564495,90.55555555555556,20.548647487857853,9
benchmark_files__rand_1001.qasm,RPOLevel3Pure,36.0,3.366501646120693,34.0,2.0,9
benchmark_files__rand_1002.qasm,l3rpol3,144.44444444444446,10.925109825139424,120.66666666666667,5.637178175095921,9
benchmark_files__rand_1002.qasm,RPOLevel3Pure,128.77777777777777,7.020252888413918,103.22222222222223,8.816370855501054,9
benchmark_files__rand_1003.qasm,l3rpol3,209.44444444444446,6.482645398139921,187.44444444444446,12.27564083967478,9
benchmark_files__rand_1003.qasm,RPOLevel3Pure,174.55555555555554,20.966169104382903,116.88888888888889,9.84823102496015,9
benchmark_files__rand_1004.qasm,l3rpol3,146.66666666666666,5.185449728701348,127.88888888888889,10.71286292728351,9
benchmark_files__rand_1004.qasm,RPOLevel3Pure,112.55555555555556,17.134183578845544,82.44444444444444,8.680899993166493,9
benchmark_files__rand_1005.qasm,l3rpol3,105.55555555555556,8.152860590152953,88.77777777777777,15.259079466758129,9
benchmark_files__rand_1005.qasm,RPOLevel3Pure,65.44444444444444,6.1483712587808546,50.55555555555556,4.348974620173539,9
benchmark_files__rand_1006.qasm,l3rpol3,8.666666666666666,0.9428090415820634,9.0,0.0,9
benchmark_files__rand_1006.qasm,RPOLevel3Pure,0.0,0.0,2.0,0.0,9
benchmark_files__rand_1007.qasm,l3rpol3,14.333333333333334,0.9428090415820634,17.0,0.0,9
benchmark_files__rand_1007.qasm,RPOLevel3Pure,15.444444444444445,1.7708197167232476,22.444444444444443,2.1659542988464366,9
benchmark_files__rand_1008.qasm,l3rpol3,131.88888888888889,7.852026552913224,111.66666666666667,11.234866364235144,9
benchmark_files__rand_1008.qasm,RPOLevel3Pure,111.66666666666667,18.414969755910843,69.77777777777777,14.950122836937032,9
benchmark_files__rand_1009.qasm,l3rpol3,191.44444444444446,4.54877544232416,164.77777777777777,15.61891856960496,9
benchmark_files__rand_1009.qasm,RPOLevel3Pure,301.1111111111111,17.188138315868652,170.88888888888889,16.70292352616714,9
benchmark_files__rand_101.qasm,l3rpol3,45.666666666666664,2.9814239699997196,36.44444444444444,4.323350324076382,9
benchmark_files__rand_101.qasm,RPOLevel3Pure,0.0,0.0,2.0,0.0,9
benchmark_files__rand_1010.qasm,l3rpol3,193.33333333333334,5.981452814975453,147.11111111111111,10.35422022864155,9
benchmark_files__rand_1010.qasm,RPOLevel3Pure,30.333333333333332,5.291502622129181,23.333333333333332,4.136557881996952,9
benchmark_files__rand_1011.qasm,l3rpol3,133.11111111111111,4.55691036764664,95.88888888888889,10.027123709047537,9
benchmark_files__rand_1011.qasm,RPOLevel3Pure,246.55555555555554,11.393088656540966,135.55555555555554,5.397759022884942,9
benchmark_files__rand_1012.qasm,l3rpol3,264.3333333333333,5.577733510227169,239.33333333333334,26.989709973329546,9
benchmark_files__rand_1012.qasm,RPOLevel3Pure,250.11111111111111,34.83116243456727,159.22222222222223,19.077489805630893,9
