file,opt,cgates_average,cgates_stdev,depth_average,depth_stdev,amounts
benchmark_files__rand_101.qasm,0010,385.55555555555554,14.576321065428996,383.6666666666667,22.91045370325278,9
benchmark_files__rand_101.qasm,0011,368.3333333333333,11.962905629950907,381.0,14.712050993809275,9
benchmark_files__rand_101.qasm,0100,391.3333333333333,12.918548250050735,390.6666666666667,14.399074044303452,9
benchmark_files__rand_101.qasm,0101,388.0,4.853406592853679,391.0,9.104333522498441,9
benchmark_files__rand_101.qasm,0110,385.3333333333333,5.9066817155564495,394.1111111111111,5.043024763515652,9
benchmark_files__rand_101.qasm,0111,374.22222222222223,6.679617051195172,372.44444444444446,15.642613529224949,9
benchmark_files__rand_101.qasm,1000,340.77777777777777,9.784088872333918,449.1111111111111,12.502839183734269,9
benchmark_files__rand_101.qasm,1001,332.55555555555554,14.561067658589621,439.0,16.316317667360558,9
benchmark_files__rand_101.qasm,1010,353.8888888888889,5.445578113263488,448.22222222222223,14.755622489808024,9
benchmark_files__rand_101.qasm,1011,337.77777777777777,11.2425558361253,432.55555555555554,13.647230985817119,9
benchmark_files__rand_101.qasm,1100,350.77777777777777,6.4769296185731875,431.8888888888889,8.949791362489899,9
benchmark_files__rand_101.qasm,1101,335.44444444444446,13.250669677928745,407.1111111111111,13.118641905018169,9
benchmark_files__rand_101.qasm,1110,344.3333333333333,10.208928554075703,428.6666666666667,4.876246279442598,9
benchmark_files__rand_101.qasm,1111,336.6666666666667,11.392004993756707,409.3333333333333,13.35830993967592,9
benchmark_files__rand_102.qasm,0001,240.55555555555554,7.959775417143252,247.88888888888889,21.49131320347541,9
benchmark_files__rand_102.qasm,0010,249.88888888888889,6.854754140083192,232.0,21.545816814923082,9
benchmark_files__rand_102.qasm,0011,239.77777777777777,6.142344427149002,228.55555555555554,20.987356570146446,9
benchmark_files__rand_102.qasm,0100,249.33333333333334,4.189935029992178,233.88888888888889,17.653733910639254,9
benchmark_files__rand_102.qasm,0101,237.77777777777777,2.042752923427804,221.0,11.498792207106893,9
benchmark_files__rand_102.qasm,0110,251.0,4.898979485566356,238.66666666666666,24.253293018108327,9
benchmark_files__rand_102.qasm,0111,231.55555555555554,5.599823630379624,205.55555555555554,14.727986293003996,9
benchmark_files__rand_102.qasm,1000,225.88888888888889,5.645931562627778,282.8888888888889,23.858119719357806,9
benchmark_files__rand_102.qasm,1001,216.88888888888889,3.3811386788228757,253.0,18.55322673343433,9
benchmark_files__rand_102.qasm,1010,226.77777777777777,3.224137361899313,262.3333333333333,17.993826101687706,9
benchmark_files__rand_102.qasm,1011,213.0,4.055175020198813,264.22222222222223,14.657404482814805,9
benchmark_files__rand_102.qasm,1100,222.11111111111111,8.849914556328834,244.55555555555554,22.613226764249237,9
benchmark_files__rand_102.qasm,1101,213.11111111111111,8.03387888112232,263.44444444444446,20.822589822439962,9
benchmark_files__rand_102.qasm,1110,220.55555555555554,5.418304595660715,262.22222222222223,20.383968525277556,9
benchmark_files__rand_102.qasm,1111,212.44444444444446,6.567785202725178,232.66666666666666,20.763215336529914,9
benchmark_files__rand_103.qasm,0001,146.77777777777777,4.184037863058384,143.22222222222223,7.3602200718574196,9
benchmark_files__rand_103.qasm,0010,158.66666666666666,5.676462121975467,144.77777777777777,13.521815934734486,9
benchmark_files__rand_103.qasm,0011,147.44444444444446,4.645454435637082,143.55555555555554,18.27634239551297,9
benchmark_files__rand_103.qasm,0100,162.0,4.898979485566356,153.33333333333334,10.519822558706334,9
benchmark_files__rand_103.qasm,0101,144.66666666666666,5.9066817155564495,138.11111111111111,7.680342070571313,9
benchmark_files__rand_103.qasm,0110,156.11111111111111,4.175176495123542,139.11111111111111,11.39633902662941,9
benchmark_files__rand_103.qasm,0111,142.0,4.8074017006186525,135.0,8.232726023485645,9
benchmark_files__rand_103.qasm,1000,134.77777777777777,4.755763235340599,163.77777777777777,17.331908773369282,9
benchmark_files__rand_103.qasm,1001,129.77777777777777,4.613453220450377,153.44444444444446,14.299270463994628,9
benchmark_files__rand_103.qasm,1010,133.22222222222223,4.732342097565968,150.44444444444446,7.931808132255443,9
benchmark_files__rand_103.qasm,1011,127.0,5.2493385826745405,147.11111111111111,16.086187618536762,9
benchmark_files__rand_103.qasm,1100,141.11111111111111,5.486234175834893,162.88888888888889,17.393769283181356,9
benchmark_files__rand_103.qasm,1101,125.0,3.197221015541813,139.33333333333334,8.717797887081348,9
benchmark_files__rand_103.qasm,1110,133.66666666666666,3.9157800414902435,147.33333333333334,13.457752825457566,9
benchmark_files__rand_103.qasm,1111,125.77777777777777,3.7350525142159134,129.55555555555554,7.959775417143252,9
benchmark_files__rand_104.qasm,0001,454.55555555555554,8.328146533974893,462.55555555555554,16.77373019609407,9
benchmark_files__rand_104.qasm,0010,456.44444444444446,7.150930182090705,429.77777777777777,18.653434463496275,9
benchmark_files__rand_104.qasm,0011,442.1111111111111,8.03387888112232,424.0,12.202003478482084,9
benchmark_files__rand_104.qasm,0100,460.3333333333333,6.649979114420001,430.3333333333333,7.659416862050704,9
benchmark_files__rand_104.qasm,0101,451.77777777777777,6.8276851092165405,422.6666666666667,7.287737036358482,9
benchmark_files__rand_104.qasm,0110,456.55555555555554,4.424957278164417,422.0,7.630348761506398,9
benchmark_files__rand_104.qasm,0111,443.3333333333333,6.0553007081949835,414.22222222222223,10.57016532802247,9
benchmark_files__rand_104.qasm,1000,415.44444444444446,10.264405715449776,483.3333333333333,14.483707321600289,9
benchmark_files__rand_104.qasm,1001,407.1111111111111,8.736188393934793,445.1111111111111,42.644380753817295,9
benchmark_files__rand_104.qasm,1010,412.1111111111111,6.0266896099202745,452.0,41.689327171351664,9
benchmark_files__rand_104.qasm,1011,403.8888888888889,7.563721077830004,438.44444444444446,34.003630888189676,9
benchmark_files__rand_104.qasm,1100,412.0,3.8873012632302,451.3333333333333,14.399074044303452,9
benchmark_files__rand_104.qasm,1101,409.44444444444446,9.639169064131698,412.44444444444446,52.20709000618192,9
benchmark_files__rand_104.qasm,1110,410.8888888888889,7.124986463058399,443.55555555555554,13.342589379802734,9
benchmark_files__rand_104.qasm,1111,400.3333333333333,9.637888196533973,441.1111111111111,10.640012995443655,9
benchmark_files__rand_105.qasm,0001,132.0,4.666666666666667,130.66666666666666,13.92838827718412,9
benchmark_files__rand_105.qasm,0010,146.22222222222223,6.032831982443656,133.88888888888889,13.96379799055356,9
benchmark_files__rand_105.qasm,0011,125.0,4.496912521077347,114.55555555555556,5.377134947805716,9
benchmark_files__rand_105.qasm,0100,148.0,4.242640687119285,121.77777777777777,1.314684396244359,9
benchmark_files__rand_105.qasm,0101,127.22222222222223,3.644715437079272,106.22222222222223,0.41573970964154905,9
benchmark_files__rand_105.qasm,0110,144.88888888888889,5.1303983913845315,131.66666666666666,19.652537297311568,9
benchmark_files__rand_105.qasm,0111,123.33333333333333,4.396968652757639,113.11111111111111,13.27022100162988,9
benchmark_files__rand_105.qasm,1000,128.33333333333334,6.200358412579424,146.66666666666666,12.649110640673516,9
benchmark_files__rand_105.qasm,1001,115.11111111111111,7.534283781406527,141.77777777777777,12.950999770740806,9
benchmark_files__rand_105.qasm,1010,125.33333333333333,4.760952285695234,135.88888888888889,6.1181777324160915,9
