file,label,average,stdev,amounts
benchmark_files__random__rand_76.qasm RPOLevel3Pure 7.0 0 9
benchmark_files__random__rand_77.qasm l3rpol3 404.55555555555554 0 9
benchmark_files__random__rand_78.qasm l3rpol3 369.22222222222223 0 9
benchmark_files__random__rand_79.qasm l3rpol3 609.4444444444445 0 9
benchmark_files__random__rand_8.qasm l3rpol3 611.0 0 9
benchmark_files__random__rand_80.qasm l3rpopurel3 676.6666666666667 0 9
benchmark_files__random__rand_81.qasm l3rpopurel3 669.7777777777778 0 9
benchmark_files__random__rand_82.qasm l3rpol3 75.88888888888889 0 9
benchmark_files__random__rand_83.qasm l3rpol3 258.44444444444446 0 9
benchmark_files__random__rand_84.qasm l3rpol3 484.8888888888889 0 9
benchmark_files__random__rand_85.qasm RPOLevel3Pure 382.8888888888889 0 9
benchmark_files__random__rand_86.qasm RPOLevel3Pure 282.44444444444446 0 9
benchmark_files__random__rand_87.qasm RPOLevel3Pure 509.11111111111114 0 9
benchmark_files__random__rand_88.qasm RPOLevel3Pure 181.66666666666666 0 9
benchmark_files__random__rand_89.qasm RPOLevel3Pure 33.666666666666664 0 9
benchmark_files__random__rand_9.qasm RPOLevel3Pure 417.0 0 9
benchmark_files__random__rand_90.qasm l3rpol3 433.0 0 9
benchmark_files__random__rand_91.qasm l3rpol3 669.2222222222222 0 9
benchmark_files__random__rand_92.qasm RPOLevel3Pure 171.66666666666666 0 9
benchmark_files__random__rand_93.qasm RPOLevel3Pure 152.22222222222223 0 9
benchmark_files__random__rand_94.qasm RPOLevel3Pure 2.0 0 9
benchmark_files__random__rand_95.qasm l3rpol3 630.6666666666666 0 9
benchmark_files__random__rand_96.qasm l3rpol3 382.77777777777777 0 9
benchmark_files__random__rand_97.qasm l3rpol3 415.44444444444446 0 9
benchmark_files__random__rand_98.qasm l3rpopurel3 816.6666666666667 0 9
benchmark_files__random__rand_99.qasm l3rpol3 649.0 0 9
benchmark_files__real__adder_8.qasm RPOLevel3Pure 1.0 0 9
benchmark_files__real__adder_n4.qasm RPOLevel3Pure 12.0 0 9
benchmark_files__real__basis_change_n3.qasm l3rpol3 32.0 0 9
benchmark_files__real__basis_test_n4.qasm RPOLevel3Hoare 36.0 0 9
